station_id,hour,occupancy_rate
DAN_13401,2024-06-16 13:00:00+00:00,0.6666666666666666
DAN_13401,2024-06-16 16:00:00+00:00,0.6666666666666666
DAN_13401,2024-06-16 12:00:00+00:00,0.0
DAN_13401,2024-06-16 17:00:00+00:00,0.0
DAN_13401,2024-06-16 20:00:00+00:00,0.0
DAN_13408,2024-06-16 11:00:00+00:00,0.0
DAN_13409,2024-06-16 18:00:00+00:00,1.0
DAN_13409,2024-06-16 19:00:00+00:00,1.0
DAN_13409,2024-06-16 11:00:00+00:00,0.3333333333333333
DAN_13409,2024-06-16 12:00:00+00:00,0.0
DAN_13410,2024-06-16 20:00:00+00:00,0.0
DAN_13414,2024-06-16 18:00:00+00:00,0.5
DAN_13415,2024-06-16 12:00:00+00:00,1.0
DAN_13415,2024-06-16 20:00:00+00:00,1.0
DAN_13415,2024-06-16 11:00:00+00:00,0.6666666666666666
DAN_13415,2024-06-16 13:00:00+00:00,0.0
DAN_13415,2024-06-16 14:00:00+00:00,0.0
DAN_13417,2024-06-16 16:00:00+00:00,0.6666666666666666
DAN_13417,2024-06-16 20:00:00+00:00,0.6666666666666666
DAN_13417,2024-06-16 12:00:00+00:00,0.5714285714285714
DAN_13417,2024-06-16 14:00:00+00:00,0.0
DAN_13417,2024-06-16 19:00:00+00:00,0.0
DAN_13424,2024-06-16 17:00:00+00:00,1.0
DAN_13424,2024-06-16 19:00:00+00:00,0.5
DAN_13424,2024-06-16 20:00:00+00:00,0.0
DAN_13425,2024-06-16 16:00:00+00:00,0.5
DAN_13426,2024-06-16 17:00:00+00:00,1.0
DAN_13426,2024-06-16 12:00:00+00:00,0.0
DAN_13426,2024-06-16 19:00:00+00:00,0.0
DAN_13440,2024-06-16 10:00:00+00:00,1.0
DAN_13440,2024-06-16 11:00:00+00:00,0.0
DAN_13451,2024-06-16 13:00:00+00:00,1.0
DAN_13451,2024-06-16 19:00:00+00:00,0.0
DAN_14062,2024-06-16 13:00:00+00:00,1.0
DAN_14062,2024-06-16 14:00:00+00:00,0.5
DAN_14062,2024-06-16 15:00:00+00:00,0.3333333333333333
DAN_14189,2024-06-16 15:00:00+00:00,1.0
DAN_14189,2024-06-16 17:00:00+00:00,0.0
DAN_14281,2024-06-16 10:00:00+00:00,1.0
DAN_14281,2024-06-16 13:00:00+00:00,1.0
DAN_14281,2024-06-16 14:00:00+00:00,1.0
DAN_14281,2024-06-16 17:00:00+00:00,1.0
DAN_14281,2024-06-16 15:00:00+00:00,0.5
DAN_14290,2024-06-16 15:00:00+00:00,0.6666666666666666
DAN_14290,2024-06-16 17:00:00+00:00,0.0
DAN_15076,2024-06-16 11:00:00+00:00,1.0
DAN_15076,2024-06-16 15:00:00+00:00,0.0
DAN_15564,2024-06-16 16:00:00+00:00,1.0
DAN_15564,2024-06-16 17:00:00+00:00,0.0
DAN_15569,2024-06-16 13:00:00+00:00,0.25
DAN_15569,2024-06-16 12:00:00+00:00,0.0
DAN_15961,2024-06-16 19:00:00+00:00,0.6666666666666666
DAN_15961,2024-06-16 15:00:00+00:00,0.0
DAN_16169,2024-06-16 17:00:00+00:00,0.5
DAN_16253,2024-06-16 10:00:00+00:00,1.0
DAN_16253,2024-06-16 17:00:00+00:00,1.0
DAN_16253,2024-06-16 13:00:00+00:00,0.0
DAN_17570,2024-06-16 12:00:00+00:00,1.0
DAN_17570,2024-06-16 16:00:00+00:00,1.0
DAN_17570,2024-06-16 13:00:00+00:00,0.6666666666666666
DAN_17570,2024-06-16 10:00:00+00:00,0.0
DAN_17570,2024-06-16 11:00:00+00:00,0.0
DAN_18355,2024-06-16 15:00:00+00:00,1.0
DAN_18355,2024-06-16 19:00:00+00:00,1.0
DAN_18355,2024-06-16 20:00:00+00:00,1.0
DAN_18355,2024-06-16 14:00:00+00:00,0.6666666666666666
DAN_18355,2024-06-16 12:00:00+00:00,0.5
DAN_18637,2024-06-16 21:00:00+00:00,1.0
DAN_18839,2024-06-16 17:00:00+00:00,0.5
DAN_18853,2024-06-16 14:00:00+00:00,1.0
DAN_18857,2024-06-16 10:00:00+00:00,1.0
DAN_18857,2024-06-16 19:00:00+00:00,1.0
DAN_18857,2024-06-16 14:00:00+00:00,0.0
DAN_18857,2024-06-16 21:00:00+00:00,0.0
DAN_18858,2024-06-16 11:00:00+00:00,1.0
DAN_18859,2024-06-16 19:00:00+00:00,1.0
DAN_18859,2024-06-16 21:00:00+00:00,0.0
DAN_18866,2024-06-16 12:00:00+00:00,0.0
DAN_18871,2024-06-16 12:00:00+00:00,0.0
DAN_18875,2024-06-16 22:00:00+00:00,1.0
DAN_18875,2024-06-16 19:00:00+00:00,0.0
DAN_19027,2024-06-16 15:00:00+00:00,0.0
DAN_19029,2024-06-16 11:00:00+00:00,0.0
DAN_19032,2024-06-16 12:00:00+00:00,1.0
DAN_19047,2024-06-16 12:00:00+00:00,0.0
DAN_19052,2024-06-16 21:00:00+00:00,0.0
DAN_19057,2024-06-16 11:00:00+00:00,1.0
DAN_19058,2024-06-16 10:00:00+00:00,1.0
DAN_19058,2024-06-16 19:00:00+00:00,0.0
DAN_19072,2024-06-16 12:00:00+00:00,0.0
DAN_19077,2024-06-16 22:00:00+00:00,1.0
DAN_19088,2024-06-16 20:00:00+00:00,0.0
DAN_19093,2024-06-16 15:00:00+00:00,1.0
DAN_19093,2024-06-16 19:00:00+00:00,1.0
DAN_19094,2024-06-16 19:00:00+00:00,1.0
DAN_19096,2024-06-16 14:00:00+00:00,1.0
DAN_19106,2024-06-16 19:00:00+00:00,0.0
DAN_19109,2024-06-16 19:00:00+00:00,1.0
DAN_19109,2024-06-16 22:00:00+00:00,0.0
DAN_19120,2024-06-16 12:00:00+00:00,1.0
DAN_19158,2024-06-16 19:00:00+00:00,1.0
DAN_19158,2024-06-16 21:00:00+00:00,0.0
DAN_19174,2024-06-16 10:00:00+00:00,0.5
DAN_19187,2024-06-16 20:00:00+00:00,1.0
DAN_19194,2024-06-16 19:00:00+00:00,0.0
DAN_19212,2024-06-16 10:00:00+00:00,0.0
DAN_19220,2024-06-16 11:00:00+00:00,1.0
DAN_19220,2024-06-16 14:00:00+00:00,1.0
DAN_19223,2024-06-16 21:00:00+00:00,0.0
DAN_19233,2024-06-16 12:00:00+00:00,0.0
DAN_19237,2024-06-16 14:00:00+00:00,1.0
DAN_19237,2024-06-16 22:00:00+00:00,0.0
DAN_19245,2024-06-16 12:00:00+00:00,0.0
DAN_19280,2024-06-16 12:00:00+00:00,1.0
DAN_19286,2024-06-16 10:00:00+00:00,0.0
DAN_19293,2024-06-16 10:00:00+00:00,1.0
DAN_19301,2024-06-16 11:00:00+00:00,0.0
DAN_19305,2024-06-16 15:00:00+00:00,1.0
DAN_19315,2024-06-16 11:00:00+00:00,1.0
DAN_19325,2024-06-16 12:00:00+00:00,1.0
DAN_19325,2024-06-16 21:00:00+00:00,0.0
DAN_19327,2024-06-16 14:00:00+00:00,0.0
DAN_19346,2024-06-16 12:00:00+00:00,1.0
DAN_19346,2024-06-16 22:00:00+00:00,0.0
DAN_19347,2024-06-16 19:00:00+00:00,1.0
DAN_19357,2024-06-16 19:00:00+00:00,0.0
DAN_19363,2024-06-16 21:00:00+00:00,0.0
DAN_19372,2024-06-16 15:00:00+00:00,0.0
DAN_19373,2024-06-16 11:00:00+00:00,0.0
DAN_19374,2024-06-16 10:00:00+00:00,1.0
DAN_19374,2024-06-16 11:00:00+00:00,0.0
